question,document
"Does Kestra only work with Gemini, or can I plug in OpenAI, Anthropic, Groq, Ollama, or another local model too?",f442efe5b4
"If I already have a flow using one AI provider, do I need to rewrite the whole thing to switch to a different model or service?",f442efe5b4
"How do I use a local model in Kestra, like one running in Ollama or LM Studio?",f442efe5b4
What's the difference between the generic AI plugin and provider-specific ones in Kestra?,f442efe5b4
"For OpenAI-compatible services like Groq or xAI, do I need a special plugin, or can I just change the API base URL?",f442efe5b4
"Can I build a Kestra flow without writing YAML or any code at all, and what are the no-code ways to do it?",bfe5502c30
Does Kestra have something like a form editor or AI assistant so I don’t need to hand-write workflows?,bfe5502c30
"How does Kestra keep my Python script separate from the orchestration logic, unlike Airflow?",bfe5502c30
"If I just want a simple automation like posting to Slack when a video is published, would Zapier or n8n be a better fit than Kestra?",bfe5502c30
"What are the main ways to create Kestra workflows without editing YAML directly, like from the UI or from my editor?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra YAML fields like bucket or name, and what should I do instead?",93a3e8b98c
How can I check if the YAML an AI generated for a Kestra flow matches the real plugin schema?,93a3e8b98c
"In Kestra GCS upload, why is to used instead of separate bucket and name properties?",93a3e8b98c
"For LoadFromGcs, why do I need destinationTable instead of projectId, dataset, and table split apart?",93a3e8b98c
What is the safest way to avoid wrong property names when generating Kestra flow YAML with an AI assistant?,93a3e8b98c
Why do we track token usage in Kestra flows if the model already works fine without it?,a4adc70f41
How does monitoring tokens help control LLM costs in scheduled or looping workflows?,a4adc70f41
What’s the point of checking prompt and response token counts in a Kestra AI task?,a4adc70f41
How can token usage logs or metrics prevent a runaway workflow from getting too expensive?,a4adc70f41
"Where does Kestra get token usage from in an LLM call, and what should I do with that info?",a4adc70f41
How do I stop Docker Desktop from complaining that /tmp/... is not shared when I start Kestra?,dd8b4c9fda
What should I do if Docker says mounts denied for /tmp/kestra-wd or another temp folder?,dd8b4c9fda
Is there a way to allow Docker Desktop to access a local path like /tmp so my container can mount it?,dd8b4c9fda
Where in Docker Desktop do I add /tmp to file sharing so Kestra can run without that mount error?,dd8b4c9fda
"After changing Docker Desktop file sharing, what do I need to do to get docker compose up -d working again?",dd8b4c9fda
"Why does my Kestra flow fail with a Gemini 404 NOT_FOUND, and how can I fix the model id in the YAML?",d51bbe2da0
What should I change in docker-compose.yml if the Gemini model used by the course is no longer available for my account?,d51bbe2da0
How do I know which Gemini model name I should use instead of the one from the course example?,d51bbe2da0
"If Gemini returns an unavailable error in a Kestra orchestration step, do I need to assume the model is permanently gone?",d51bbe2da0
"After updating the Gemini model name in Kestra, do I just rerun the flow or do I need to restart Docker Compose too?",d51bbe2da0
"For the Module 3 Kestra homework, what exactly am I supposed to upload if everything was built in the Kestra UI?",f29f622684
"Do I need to submit the flow YAML files from Kestra, or is a README enough for the homework repo?",f29f622684
"If I edited scripts that my Kestra flows use, should those files go in the public repo too?",f29f622684
Where should I put the Kestra homework files in my GitHub repo before sending the submission link?,f29f622684
What do I paste into the homework form for Module 3 if the answers are already entered in the form fields?,f29f622684
Why do I keep getting `JSONDecodeError: Expecting value` when I try to parse the LLM response with `json.loads()`?,a3c7e1b4f9
How can I make the model return only valid JSON instead of adding markdown fences or extra text?,a3c7e1b4f9
What should I pass in OpenAI chat completions to force a JSON object response for my ground-truth questions?,a3c7e1b4f9
Is there a recommended prompt format to make sure the output is exactly a JSON object with a `questions` list?,a3c7e1b4f9
"Does this JSON-only response option exist for other LLM providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in Module 4?,b8f2d6a30c
What can I do if the notebook runs out of memory while loading an embedding model and the rest of the notebook state?,b8f2d6a30c
Is there a smaller sentence-transformers model I can use instead of the default embedder for this evaluation task?,b8f2d6a30c
Can I move the embedding step out of Jupyter and run it from a separate Python script to avoid RAM issues?,b8f2d6a30c
What are the best ways to handle ground-truth embeddings on low-RAM machines like Codespaces or cheap laptops?,b8f2d6a30c
Why do I still get rate limit errors with Gemini even after adding a 4-second sleep between requests?,c1e9f4b820
What should I do if I keep hitting daily quota limits while building the ground-truth dataset?,c1e9f4b820
Is there a cheaper model or API I can use instead of Gemini for generating the eval data?,c1e9f4b820
How can I reduce the chance of rate limits when I use a thread pool for API calls?,c1e9f4b820
What’s the best way to avoid losing all my progress if the generation job stops midway?,c1e9f4b820
Why do the lesson files in Module 4 jump from 06 to 11 — are some lessons missing?,57c8d3a1e4
"Is there actually a gap between lessons 6 and 11 in Module 4, or is it split into parts?",57c8d3a1e4
How should I read the numbering in Module 4 when I see 01–06 and then 11–15?,57c8d3a1e4
Why does `06-search-tuning.md` come right before `11-evaluation-intro.md`?,57c8d3a1e4
What’s the reason Module 4 filenames go from the RAG evaluation lessons to the agent evaluation ones with a numbering jump?,57c8d3a1e4
Why would MRR go up if Hit Rate doesn’t change at all?,8a5ece0688
Can you explain how reranking or chunking can improve MRR but leave Hit Rate the same?,8a5ece0688
"If my Hit Rate and MRR end up exactly equal, should I trust it or check the eval code first?",8a5ece0688
What does it mean when the first relevant result moves higher in the ranked list but the hit stays the same?,8a5ece0688
How do Hit Rate and reciprocal rank count a relevant document differently in evaluation?,8a5ece0688
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Do I need to install Visual C++ Redistributable to solve the PyTorch fbgemm.dll module not found issue?,15e931476c
Should I install Visual Studio or Visual Studio Code if torch says it can't load fbgemm.dll on Windows?,15e931476c
"What's the usual fix for the OSError about ""fbgemm.dll or one of its dependencies"" in Python on Windows?",15e931476c
"If PyTorch on Windows gives an error loading fbgemm.dll, what should I install first?",15e931476c
"Why do I get a psycopg2 OperationalError saying it can't translate host name ""postgres"" when I run `python prep.py`?",4b65d5542d
"How can I fix the `could not translate host name ""postgres"" to address` error in `prep.py`?",4b65d5542d
"What should I change in my `.env` file if PostgreSQL says the host ""postgres"" is unknown?",4b65d5542d
"Is `POSTGRES_HOST=postgres` supposed to be used here, or should I set it to something else to make `python prep.py` work?",4b65d5542d
I'm getting a psycopg2 host resolution error with `python prep.py`; what value should `POSTGRES_HOST` have?,4b65d5542d
How can I make pandas show the full text in a column instead of cutting it off with dots?,641aedbbf5
What setting do I change if I want to see the entire Explanation text in a dataframe cell?,641aedbbf5
"In the offline RAG evaluation notebook, how do I display the full judge LLM explanation without truncation?",641aedbbf5
"Why does pandas only show part of a long string in a column, and how do I turn that off?",641aedbbf5
Is there a simple pandas option to let a column use unlimited width when viewing text?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to turn each vector in a Pandas Series into a unit vector?,5039707c1a
Can I use apply() to normalize every vector in a DataFrame column with NumPy?,5039707c1a
How do I create a new column with normalized versions of the vectors from another column?,5039707c1a
What function or lambda can I use to divide each vector by its norm in Pandas?,5039707c1a
How can I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
"What's the Pandas way to calculate a column's quantile, like 0.75?",b4c8ac5a0c
"If I have a Series or DataFrame column, how do I compute its percentile value?",b4c8ac5a0c
What code do I use in Pandas to find the 0.75 quantile for one column?,b4c8ac5a0c
How do I get a percentile from a Pandas column without doing it manually?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, including the ones still running?",66ccbb7da0
What’s the command to force-delete all Docker images at once?,66ccbb7da0
How can I remove every Docker volume using a single terminal command?,66ccbb7da0
"Is there a quick way to clean up all containers, images, and volumes in Docker from the command line?",66ccbb7da0
"What commands should I run to fully reset Docker by deleting containers, images, and volumes?",66ccbb7da0
"How can I make sure a user can only send feedback once per submission, like only +1 or -1 after they click ask?",2e729f1271
Why does `st.session.submitted` keep getting set back to `True` even after I click one of the feedback buttons?,2e729f1271
"In Streamlit, what's the best way to disable the feedback buttons when `st.session.submitted` is `False`?",2e729f1271
"I’m stuck with session state in Streamlit: after one feedback button is pressed, my submitted flag seems to change again. What should I check?",2e729f1271
Where can I find the fix for the issue where session attributes get reassigned and feedback can be given multiple times?,2e729f1271
How can I make RAGWithMetrics work with Gemini or another provider that uses Chat Completions instead of OpenAI Responses API?,01517c80df
Do I need to keep LLMCallRecord and RAGBase when switching the course code to an OpenAI-compatible provider?,01517c80df
Which parts of RAGWithMetrics should I change if the provider returns answer text and token usage in different fields?,01517c80df
How should I set up llm_client and the model name for a provider with an OpenAI-compatible base URL?,01517c80df
"Why does the example set cost to 0.0, and where should I add the real input/output pricing?",01517c80df
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to change in my Docker setup if docker-compose fails with OCI runtime create failed and says it can't find streamlit?,e8df9f0d12
"I can run my Streamlit app outside Docker, but inside docker-compose it crashes on startup — what am I missing in the config?",e8df9f0d12
How do I fix the docker-compose error where the container can't execute streamlit during startup?,e8df9f0d12
"Do I need to rebuild the image after adding Streamlit to docker-compose, and what command should I use?",e8df9f0d12
"Is the capstone project supposed to be done alone, or can we do it as a team?",0fab61eca2
"Can I team up with another student for the capstone, or does each person need their own project?",0fab61eca2
"If we work on one shared idea, do we still need separate repos and separate parts for grading?",0fab61eca2
Is a joint capstone allowed if each person has their own component in the system?,0fab61eca2
What happens if our work can’t be reviewed separately for each student?,0fab61eca2
"For the capstone project, do we need to hand in two separate projects, or is one enough?",d5fc98925d
What exactly is meant by attempt 1 and attempt 2 for the project submission?,d5fc98925d
"If my first project submission gets rejected, can I fix it and submit again later?",d5fc98925d
"Can I submit two projects just to get extra practice, and if so do they need to be on different datasets and problems?",d5fc98925d
"If I miss the first submission deadline, can I still join in for the second window and catch up?",d5fc98925d
"Is the competition the same thing as the capstone project, or are they separate?",e892d44e42
"Can I use the competition entry as my capstone, or does the capstone have to be individual?",e892d44e42
"Am I allowed to join the math Kaggle LLM competition with a team, even if the capstone is solo?",e892d44e42
"If I participate in the competition with others, does that count toward my capstone requirement?",e892d44e42
"Should I treat the competition as optional group practice, while the capstone is still done on my own?",e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who reviews the project after I submit it?,9a2e2d2008
Do I also have to review other students’ capstone projects?,9a2e2d2008
What happens if I skip the peer-review requirement?,9a2e2d2008
What score counts as my final capstone grade?,9a2e2d2008
When do we get assigned projects to review and grade for the capstone project?,eae0fb50aa
How will the project review assignments be shared after the deadline?,eae0fb50aa
"Will each participant be assigned more than one project to review, and if so how many?",eae0fb50aa
Do project grading assignments happen before or after the submission deadline?,eae0fb50aa
What format will the review assignment list be in for the capstone project?,eae0fb50aa
"I already turned in my capstone project, so why am I still not seeing anything to review?",a8a7fef016
"After the submission deadline is over, do the projects get assigned automatically for evaluation?",a8a7fef016
Can I pick which projects I want to grade in the capstone review stage?,a8a7fef016
Is there any way to start reviewing projects before the project list is released?,a8a7fef016
Why do I have to wait after submitting my project before I can evaluate others?,a8a7fef016
Where can I find project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with suggestions for datasets I can use in the project?,e76a70cde3
I’m looking for inspiration for the capstone project—where should I start?,e76a70cde3
Do you have any tips or guidelines for choosing a project dataset?,e76a70cde3
Can I get a link to see some example ideas for the llm-zoomcamp project?,e76a70cde3
"For the capstone project, do I actually need Airflow, Mage, or Kestra, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion pipeline in a Jupyter notebook instead of a Python script, will I still get full points?",d4f7c08ea1
"What kind of project would make an orchestration tool useful in the capstone, instead of just adding it for the grade?",d4f7c08ea1
Can I skip using an orchestrator and still satisfy the ingestion pipeline requirement for the project?,d4f7c08ea1
Is it worth adding Airflow or another workflow tool to the capstone just to get more points?,d4f7c08ea1
How can I evaluate a recommender-style RAG project if there isn’t any clear Q&A ground truth?,9b0e2d6a47
What’s a good way to create synthetic test queries for a retrieval system from item descriptions?,9b0e2d6a47
"Should I use hit rate, MRR, or NDCG when checking a ranking-style RAG model, and why?",9b0e2d6a47
How does LLM-as-a-judge work for end-to-end evaluation of a RAG app?,9b0e2d6a47
"For a recommender setup where multiple results could be correct, is NDCG usually better than just checking whether the top result is right?",9b0e2d6a47
What chunking approach should I start with if my PDFs are really long and have lots of paragraphs?,6f2a8b3d10
"Should I bother trying to build the perfect chunker first, or is there a better way to improve it step by step?",6f2a8b3d10
How can I use an LLM to split big documents into more meaningful pieces for indexing?,6f2a8b3d10
"Would adding short summaries to each chunk help retrieval, and how would I use them?",6f2a8b3d10
"For legal or financial docs, is plain semantic search enough, or do I need something like BM25 plus dense search?",6f2a8b3d10
What do you mean by reproducibility for the capstone project — do reviewers need my API keys to run it?,e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Is it okay to put my credentials in the project, or should I use a .env.example file instead?",e5d8a2c761
What should I do to make sure the reviewer uses their own keys and not mine when testing the project?,e5d8a2c761
Do I need to pin package versions and mention the Python or Docker version in the README for reproducibility?,e5d8a2c761
"Can I do the homework in JavaScript or TypeScript instead of Python, or is Python expected for the course?",ea815eb858
"If I build the capstone project in Go, Rust, Java, or another non-Python stack, is that allowed?",ea815eb858
What kind of README do I need if I submit the project in a language other than Python?,ea815eb858
How detailed should the setup instructions be for a non-Python homework or project submission?,ea815eb858
"If I use a different language for the final project, what should I include so the reviewer can run and check it easily?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone submissions?,930286278d
Is there a page with old LLM Zoomcamp project repos I can browse?,930286278d
Can I check examples of previous capstone projects from this course anywhere?,930286278d
Where can I find the 2024 and 2025 LLM Zoomcamp project lists?,930286278d
Do you have links to earlier LLM Zoomcamp projects so I can see the expected level?,930286278d
Do I have to announce or reserve my capstone project idea before I start it?,897a350476
Can I just begin my project without asking for permission first?,897a350476
"If I want feedback on my project idea, should I ask in Slack?",897a350476
Are similar capstone topics allowed if my implementation is different and original?,897a350476
Where can I look at past LLM Zoomcamp projects to get a sense of the expected scope?,897a350476
Can I build my capstone as a Telegram bot or WhatsApp bot instead of a web app?,7318a90b14
"Is a CLI, notebook, or Slack app acceptable for the project, or does it have to be a website?",7318a90b14
Are there any rules about what kind of user interface I need to use for the capstone?,7318a90b14
"If I choose a non-web interface for my project, will that still count toward the evaluation?",7318a90b14
"Will the course show me how to create things like Telegram, WhatsApp, or Slack interfaces for the project?",7318a90b14
"What’s the best tool to pull text out of PDFs for a RAG project, or is there no single recommended one?",d8b28c47a0
"If my PDFs are scanned images with no text layer, what OCR option should I use?",d8b28c47a0
"Has anyone tried docling, PyMuPDF, or unstructured for document extraction in this course? Which one works better?",d8b28c47a0
Can I use a hosted OCR API like Mistral OCR instead of running OCR locally?,d8b28c47a0
How should I decide which PDF extraction tool to use before chunking the documents for RAG?,d8b28c47a0
"Can I use the workshop content in my own capstone project, or is it just for learning?",d850a0e7ea
"Is it okay to reuse the dlt workshop materials in other Zoomcamp projects, like MLOps?",d850a0e7ea
"Since dlt is open-source, does that mean I can take the workshop examples and build on them for my own work?",d850a0e7ea
"Are we allowed to use this workshop directly in our projects, or should we only treat it as reference material?",d850a0e7ea
"If I want to ask questions about the workshop or apply it elsewhere, is that encouraged?",d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem-to-duckdb setup?,6bceeebf04
"If I want to start a fresh dlt project, what’s the init command for filesystem and duckdb?",6bceeebf04
How can I begin a dlt pipeline that loads from a filesystem source into DuckDB?,6bceeebf04
What’s the first command for setting up dlt when working with cloud files?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but it still says the table doesn't exist — what am I missing?",0407213397
"What does the error about `db.create_table(notion_pages___homework, data)` usually mean in this dlt pipeline?",0407213397
"If opening `notion_pages___homework` fails, could there still be some old `employee_handbook` setting somewhere?",0407213397
How do I fix the table-not-found error after renaming everything for the homework pipeline?,0407213397
I'm getting FileNotFoundError: Table notion_pages___homework does not exist when I run main(). What table name should I open in line 3?,e95bfafc0e
"Why does db.open_table fail with notion_pages___homework, and how should that line be written instead?",e95bfafc0e
"In the dlt workshop homework, what should replace the table opening call if the table doesn't exist yet?",e95bfafc0e
"My script says please first call db.create_table(notion_pages___homework, data). Which table am I supposed to use in db.open_table?",e95bfafc0e
"For the Notion pages homework, how do I fix the error about missing notion_pages___homework table in main()?",e95bfafc0e
How can I list all the tables in the database?,e394e6f738
Is there a way to see what tables exist in the db?,e394e6f738
What method should I use to get the database table names?,e394e6f738
How do I check which tables are available in my database?,e394e6f738
Can I use dlt to print all table names in the db?,e394e6f738
Does dlt support ClickHouse or StarRocks connectors yet?,cd19f122f3
Can I use dlt to load data into ClickHouse right now?,cd19f122f3
Is there a built-in connector for StarRocks in dlt?,cd19f122f3
"If dlt doesn't support ClickHouse or StarRocks, can the community add them?",cd19f122f3
Are connectors for ClickHouse and StarRocks planned in dlt or do I need to contribute one?,cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
My notebook says it has no secret access for api.notion.com/v1/search — what should I check first?,0dfba07ace
How do I fix a Notion API authorization error in this workshop notebook?,0dfba07ace
"Could this be a bad or expired Notion token, and how can I verify it?",0dfba07ace
What settings or endpoint details should I double-check if Notion requests are failing with unauthorized errors?,0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb needs 2.32, and how do I force the right version?",4b30b918bc
I’m getting a 401 Client Error while installing requests for lancedb — is this a bad key or an access issue?,4b30b918bc
What command should I use to install requests straight from the GitHub source instead of the older pip version?,4b30b918bc
How can I make sure the requests package installs as v2.32.3 for this workshop setup?,4b30b918bc
"If the default requests install is wrong, what’s the exact pip command to pull the tagged release from GitHub?",4b30b918bc
Why would my Logfire EU token still give me a 401 Unauthorized error even though the SDK should detect the region automatically?,46efd1088d
"Do I need to set a Logfire base URL manually for EU tokens, or should `logfire.configure()` handle that on its own?",46efd1088d
What should I check first if my `.env` Logfire token seems correct but I still get unauthorized errors?,46efd1088d
How do I make sure `load_dotenv()` is actually using the token from my local `.env` instead of an old shell variable?,46efd1088d
"Could the problem be that I'm using the wrong kind of Logfire token, like a read token instead of a write token?",46efd1088d
